episode,real_score,is_funnel,frame_count,agent_fps,seed,timestamp
1,104.0,0,383,345.6,2054279286,2026-06-29T11:51:45.830433
2,104.0,0,383,411.7,649189491,2026-06-29T11:51:46.866057
3,104.0,0,383,355.0,1464152934,2026-06-29T11:51:48.055711
4,104.0,0,383,421.3,650856816,2026-06-29T11:51:49.067388
5,104.0,0,383,390.5,635225220,2026-06-29T11:51:50.149619
6,104.0,0,383,402.4,456465679,2026-06-29T11:51:51.208472
7,104.0,0,383,378.2,1671960232,2026-06-29T11:51:52.328839
8,104.0,0,383,399.8,1063737776,2026-06-29T11:51:53.395686
9,104.0,0,383,333.6,1406340055,2026-06-29T11:51:54.643015
10,104.0,0,383,414.7,1776293873,2026-06-29T11:51:55.667473
11,104.0,0,383,408.9,710150358,2026-06-29T11:51:56.707719
12,104.0,0,383,410.0,903637068,2026-06-29T11:51:57.751465
13,104.0,0,383,397.1,717677969,2026-06-29T11:51:58.818505
14,104.0,0,383,383.9,1959146509,2026-06-29T11:51:59.922708
15,104.0,0,383,302.3,1147284171,2026-06-29T11:52:01.289378
16,104.0,0,383,382.6,398713497,2026-06-29T11:52:02.394678
17,104.0,0,383,299.7,506626662,2026-06-29T11:52:03.776631
18,104.0,0,383,226.4,952350430,2026-06-29T11:52:05.661642
19,104.0,0,383,227.2,1817299928,2026-06-29T11:52:07.547775
20,104.0,0,383,178.3,188000583,2026-06-29T11:52:09.898151
21,104.0,0,383,224.5,2068368775,2026-06-29T11:52:11.801210
22,104.0,0,383,219.1,107541349,2026-06-29T11:52:13.740401
23,104.0,0,383,206.0,1479444282,2026-06-29T11:52:15.799735
24,104.0,0,383,193.9,96050978,2026-06-29T11:52:17.968451
25,104.0,0,383,145.8,1533260368,2026-06-29T11:52:20.794391
26,104.0,0,383,206.6,670109700,2026-06-29T11:52:22.838901
27,104.0,0,383,216.3,1902351728,2026-06-29T11:52:24.805087
28,104.0,0,383,205.7,580512738,2026-06-29T11:52:26.864608
29,104.0,0,383,199.2,1685102853,2026-06-29T11:52:28.972182
30,104.0,0,383,197.9,1294115856,2026-06-29T11:52:31.094531
31,104.0,0,383,194.8,1511513969,2026-06-29T11:52:33.254689
32,104.0,0,383,210.9,2004629544,2026-06-29T11:52:35.263091
33,104.0,0,383,212.0,1953113830,2026-06-29T11:52:37.262523
34,104.0,0,383,203.2,1502510034,2026-06-29T11:52:39.342785
35,104.0,0,383,197.8,1522486337,2026-06-29T11:52:41.469411
36,104.0,0,383,186.8,1080085909,2026-06-29T11:52:43.717219
37,104.0,0,383,222.9,2127648820,2026-06-29T11:52:45.629315
38,104.0,0,383,209.7,709580545,2026-06-29T11:52:47.653646
39,104.0,0,383,199.5,1451004714,2026-06-29T11:52:49.763998
40,104.0,0,383,196.5,1582545695,2026-06-29T11:52:51.908155
41,104.0,0,383,196.0,567413138,2026-06-29T11:52:54.057373
42,104.0,0,383,214.8,1081159434,2026-06-29T11:52:56.037768
43,104.0,0,383,218.1,141043552,2026-06-29T11:52:57.983198
44,104.0,0,383,203.9,1993708051,2026-06-29T11:53:00.056256
45,104.0,0,383,198.7,1858474634,2026-06-29T11:53:02.172140
46,104.0,0,383,187.8,603692646,2026-06-29T11:53:04.406082
47,104.0,0,383,188.7,106155244,2026-06-29T11:53:06.631386
48,104.0,0,383,188.8,258236859,2026-06-29T11:53:08.856139
49,104.0,0,383,215.2,439705484,2026-06-29T11:53:10.838998
50,104.0,0,383,194.3,1142786283,2026-06-29T11:53:12.997444
51,104.0,0,383,190.4,304824848,2026-06-29T11:53:15.210186
52,104.0,0,383,186.0,534622178,2026-06-29T11:53:17.468585
53,104.0,0,383,211.9,157622782,2026-06-29T11:53:19.465588
54,104.0,0,383,210.1,2051295931,2026-06-29T11:53:21.476476
55,104.0,0,383,198.8,339588620,2026-06-29T11:53:23.591449
56,104.0,0,383,196.8,1773754661,2026-06-29T11:53:25.747931
57,104.0,0,383,213.9,416743957,2026-06-29T11:53:27.739549
58,104.0,0,383,223.9,1720562277,2026-06-29T11:53:29.637478
59,104.0,0,383,213.9,1220044432,2026-06-29T11:53:31.617094
60,104.0,0,383,217.1,325600064,2026-06-29T11:53:33.570119
61,104.0,0,383,225.3,2020689369,2026-06-29T11:53:35.470810
62,104.0,0,383,215.5,179134736,2026-06-29T11:53:37.435080
63,104.0,0,383,203.5,116454271,2026-06-29T11:53:39.508191
64,104.0,0,383,228.6,2112197241,2026-06-29T11:53:41.375987
65,104.0,0,383,209.2,1193915002,2026-06-29T11:53:43.402015
66,104.0,0,383,202.4,573636972,2026-06-29T11:53:45.488637
67,104.0,0,383,192.3,898335031,2026-06-29T11:53:47.672368
68,104.0,0,383,182.5,863173634,2026-06-29T11:53:49.962623
69,104.0,0,383,220.7,1085644329,2026-06-29T11:53:51.903135
70,104.0,0,383,218.5,1960242157,2026-06-29T11:53:53.852713
71,104.0,0,383,209.4,1699270344,2026-06-29T11:53:55.874807
72,104.0,0,383,200.1,1530032249,2026-06-29T11:53:57.991820
73,104.0,0,383,192.8,1544139144,2026-06-29T11:54:00.167793
74,104.0,0,383,213.8,888224341,2026-06-29T11:54:02.158975
75,104.0,0,383,212.7,244477243,2026-06-29T11:54:04.161746
76,104.0,0,383,209.3,1248449189,2026-06-29T11:54:06.182442
77,104.0,0,383,204.9,1109143055,2026-06-29T11:54:08.239708
78,104.0,0,383,195.9,729688130,2026-06-29T11:54:10.382978
79,104.0,0,383,192.7,239676370,2026-06-29T11:54:12.572190
80,104.0,0,383,227.7,2056541897,2026-06-29T11:54:14.449516
81,104.0,0,383,212.8,1438576107,2026-06-29T11:54:16.441722
82,104.0,0,383,200.9,1035860944,2026-06-29T11:54:18.551078
83,104.0,0,383,196.2,433278430,2026-06-29T11:54:20.710938
84,104.0,0,383,188.0,1135842885,2026-06-29T11:54:22.935814
85,104.0,0,383,229.8,1664034434,2026-06-29T11:54:24.799297
86,104.0,0,383,341.5,1566439728,2026-06-29T11:54:26.117112
87,104.0,0,383,395.2,344094603,2026-06-29T11:54:27.192768
88,104.0,0,383,398.7,1693346839,2026-06-29T11:54:28.254891
89,104.0,0,383,384.5,263236103,2026-06-29T11:54:29.353554
90,104.0,0,383,309.4,817648732,2026-06-29T11:54:30.691772
91,104.0,0,383,361.7,1252068281,2026-06-29T11:54:31.859313
92,104.0,0,383,395.2,2045061736,2026-06-29T11:54:32.934299
93,104.0,0,383,367.9,1696432775,2026-06-29T11:54:34.085106
94,104.0,0,383,383.5,1126026858,2026-06-29T11:54:35.184196
95,104.0,0,383,361.1,1001431647,2026-06-29T11:54:36.361494
96,104.0,0,383,326.4,756200817,2026-06-29T11:54:37.638367
97,104.0,0,383,400.5,1184229919,2026-06-29T11:54:38.697081
98,104.0,0,383,380.4,1549022490,2026-06-29T11:54:39.805486
99,104.0,0,383,384.3,36229673,2026-06-29T11:54:40.905117
100,104.0,0,383,380.3,837991834,2026-06-29T11:54:42.016775
101,104.0,0,383,286.3,2002660644,2026-06-29T11:54:43.456996
102,104.0,0,383,389.3,1978762904,2026-06-29T11:54:44.544836
103,104.0,0,383,376.6,293321426,2026-06-29T11:54:45.667586
104,104.0,0,383,386.1,1565353956,2026-06-29T11:54:46.766966
105,104.0,0,383,386.9,495638293,2026-06-29T11:54:47.861004
106,104.0,0,383,358.4,1935084702,2026-06-29T11:54:49.034166
107,104.0,0,383,292.2,251473261,2026-06-29T11:54:50.443416
108,104.0,0,383,410.1,392549483,2026-06-29T11:54:51.485037
109,104.0,0,383,403.5,1877157647,2026-06-29T11:54:52.543198
110,104.0,0,383,390.7,2079288589,2026-06-29T11:54:53.628013
111,104.0,0,383,391.6,215979172,2026-06-29T11:54:54.704517
112,104.0,0,383,338.0,246028965,2026-06-29T11:54:55.944558
113,104.0,0,383,363.5,1774946883,2026-06-29T11:54:57.100837
114,104.0,0,383,299.1,501099900,2026-06-29T11:54:58.483941
115,104.0,0,383,215.9,505015213,2026-06-29T11:55:00.454938
116,104.0,0,383,198.0,2050697169,2026-06-29T11:55:02.588548
117,104.0,0,383,177.6,41273694,2026-06-29T11:55:05.163669
118,104.0,0,383,182.4,214993409,2026-06-29T11:55:07.464830
119,104.0,0,383,227.3,389482004,2026-06-29T11:55:09.344929
120,104.0,0,383,213.6,1877025341,2026-06-29T11:55:11.333061
121,104.0,0,383,175.2,1917906051,2026-06-29T11:55:13.715357
122,104.0,0,383,181.7,762361096,2026-06-29T11:55:16.009825
123,104.0,0,383,168.3,818768516,2026-06-29T11:55:18.478257
124,104.0,0,383,222.8,646585745,2026-06-29T11:55:20.400041
125,104.0,0,383,218.7,901713425,2026-06-29T11:55:22.341535
126,104.0,0,383,211.3,1290173855,2026-06-29T11:55:24.347279
127,104.0,0,383,196.7,720689330,2026-06-29T11:55:26.487712
128,104.0,0,383,187.5,1973751636,2026-06-29T11:55:28.724727
129,104.0,0,383,197.0,1480850802,2026-06-29T11:55:30.868731
130,104.0,0,383,217.2,969492709,2026-06-29T11:55:32.827820
131,104.0,0,383,206.7,383776458,2026-06-29T11:55:34.878549
132,104.0,0,383,199.6,377252479,2026-06-29T11:55:36.989100
133,104.0,0,383,191.2,502270110,2026-06-29T11:55:39.177058
134,104.0,0,383,199.3,149548199,2026-06-29T11:55:41.292432
135,104.0,0,383,220.4,348856563,2026-06-29T11:55:43.223647
136,104.0,0,383,211.2,1245320963,2026-06-29T11:55:45.240147
137,104.0,0,383,202.5,1906327710,2026-06-29T11:55:47.317830
138,104.0,0,383,199.3,970040590,2026-06-29T11:55:49.432133
139,104.0,0,383,192.2,1440983150,2026-06-29T11:55:51.614180
140,104.0,0,383,224.3,1756391948,2026-06-29T11:55:53.518660
141,104.0,0,383,214.9,1612633786,2026-06-29T11:55:55.489304
142,104.0,0,383,207.3,159851249,2026-06-29T11:55:57.536521
143,104.0,0,383,196.3,1543027177,2026-06-29T11:55:59.676048
144,104.0,0,383,195.9,443372289,2026-06-29T11:56:01.828749
145,104.0,0,383,203.0,312857637,2026-06-29T11:56:03.907831
146,104.0,0,383,221.1,2092517196,2026-06-29T11:56:05.828549
147,104.0,0,383,206.7,1621270560,2026-06-29T11:56:07.868939
148,104.0,0,383,201.7,1763617772,2026-06-29T11:56:09.957359
149,104.0,0,383,197.8,1438432809,2026-06-29T11:56:12.083361
150,104.0,0,383,189.4,751013226,2026-06-29T11:56:14.298160
151,104.0,0,383,223.6,219701953,2026-06-29T11:56:16.208369
152,104.0,0,383,206.4,1889759766,2026-06-29T11:56:18.266073
153,104.0,0,383,205.0,437299672,2026-06-29T11:56:20.327956
154,104.0,0,383,193.4,1079006548,2026-06-29T11:56:22.508397
155,104.0,0,383,185.5,446028140,2026-06-29T11:56:24.766685
156,104.0,0,383,222.7,345452152,2026-06-29T11:56:26.682997
157,104.0,0,383,189.6,2037481983,2026-06-29T11:56:28.895867
158,104.0,0,383,202.5,1108687136,2026-06-29T11:56:30.976983
159,104.0,0,383,199.4,1121874243,2026-06-29T11:56:33.087464
160,104.0,0,383,192.3,722332009,2026-06-29T11:56:35.281919
161,104.0,0,383,210.3,1068711335,2026-06-29T11:56:37.300670
162,104.0,0,383,215.3,1924452558,2026-06-29T11:56:39.266047
163,104.0,0,383,206.1,1784034230,2026-06-29T11:56:41.325430
164,104.0,0,383,196.8,490900891,2026-06-29T11:56:43.458368
165,104.0,0,383,194.5,964139326,2026-06-29T11:56:45.630318
166,104.0,0,383,194.2,1007916218,2026-06-29T11:56:47.789645
167,104.0,0,383,218.5,1363647573,2026-06-29T11:56:49.729104
168,104.0,0,383,208.1,185763465,2026-06-29T11:56:51.769779
169,104.0,0,383,204.8,2034852167,2026-06-29T11:56:53.832750
170,104.0,0,383,198.4,1585721946,2026-06-29T11:56:55.957658
171,104.0,0,383,212.5,1102543044,2026-06-29T11:56:57.951082
172,104.0,0,383,216.9,1894741497,2026-06-29T11:56:59.915252
173,104.0,0,383,211.1,793971699,2026-06-29T11:57:01.927085
174,104.0,0,383,203.4,1380942309,2026-06-29T11:57:04.012321
175,104.0,0,383,197.0,1097978757,2026-06-29T11:57:06.156071
176,104.0,0,383,195.7,1131784790,2026-06-29T11:57:08.303673
177,104.0,0,383,207.1,1239336875,2026-06-29T11:57:10.353120
178,104.0,0,383,216.9,361305699,2026-06-29T11:57:12.306780
179,104.0,0,383,204.5,1255140814,2026-06-29T11:57:14.377992
180,104.0,0,383,200.4,2100587993,2026-06-29T11:57:16.481897
181,104.0,0,383,218.0,700045666,2026-06-29T11:57:18.432113
182,104.0,0,383,213.5,1895645765,2026-06-29T11:57:20.425786
183,104.0,0,383,220.2,1667664578,2026-06-29T11:57:22.367488
184,104.0,0,383,211.4,1771602293,2026-06-29T11:57:24.377463
185,104.0,0,383,204.8,16383148,2026-06-29T11:57:26.435965
186,104.0,0,383,194.4,1697698448,2026-06-29T11:57:28.605853
187,104.0,0,383,187.6,513379918,2026-06-29T11:57:30.838423
188,104.0,0,383,224.2,301573131,2026-06-29T11:57:32.744501
189,104.0,0,383,215.8,1744121669,2026-06-29T11:57:34.717914
190,104.0,0,383,221.1,1484068942,2026-06-29T11:57:36.640213
191,104.0,0,383,216.3,1048019859,2026-06-29T11:57:38.599410
192,104.0,0,383,205.2,872994641,2026-06-29T11:57:40.653280
193,104.0,0,383,201.6,103508254,2026-06-29T11:57:42.742657
194,104.0,0,383,217.7,619677109,2026-06-29T11:57:44.689068
195,104.0,0,383,206.3,476432280,2026-06-29T11:57:46.732022
196,104.0,0,383,201.1,49754517,2026-06-29T11:57:48.822610
197,104.0,0,383,190.0,2046216098,2026-06-29T11:57:51.029082
198,104.0,0,383,218.6,790495273,2026-06-29T11:57:52.980875
199,104.0,0,383,225.1,1347223027,2026-06-29T11:57:54.881171
200,104.0,0,383,215.4,341741607,2026-06-29T11:57:56.852838
201,104.0,0,383,194.6,91050907,2026-06-29T11:57:59.011250
202,104.0,0,383,195.7,2080317421,2026-06-29T11:58:01.168622
203,104.0,0,383,198.5,1121888897,2026-06-29T11:58:03.285011
204,104.0,0,383,201.1,2111757057,2026-06-29T11:58:05.385880
205,104.0,0,383,204.4,649462498,2026-06-29T11:58:07.456874
206,104.0,0,383,210.6,1842402537,2026-06-29T11:58:09.466240
207,104.0,0,383,201.5,1451824676,2026-06-29T11:58:11.569589
208,104.0,0,383,274.0,117206510,2026-06-29T11:58:13.157561
209,104.0,0,383,318.2,252185028,2026-06-29T11:58:14.464861
210,104.0,0,383,395.6,226337192,2026-06-29T11:58:15.535419
211,104.0,0,383,405.4,941965801,2026-06-29T11:58:16.580627
212,104.0,0,383,389.4,112237160,2026-06-29T11:58:17.665697
213,104.0,0,383,388.9,776376775,2026-06-29T11:58:18.753058
214,104.0,0,383,384.8,1012060748,2026-06-29T11:58:19.847852
215,104.0,0,383,344.3,1941523192,2026-06-29T11:58:21.066151
216,104.0,0,383,369.1,838253460,2026-06-29T11:58:22.205745
217,104.0,0,383,394.9,1102272023,2026-06-29T11:58:23.280566
218,104.0,0,383,400.6,1255349173,2026-06-29T11:58:24.340448
219,104.0,0,383,393.7,1122063771,2026-06-29T11:58:25.420828
220,104.0,0,383,325.4,1162211554,2026-06-29T11:58:26.704699
221,104.0,0,383,378.5,1759277131,2026-06-29T11:58:27.820383
222,104.0,0,383,368.2,1500700096,2026-06-29T11:58:28.963045
223,104.0,0,383,370.6,652316763,2026-06-29T11:58:30.097806
224,104.0,0,383,375.5,700758642,2026-06-29T11:58:31.225547
225,104.0,0,383,391.9,445417222,2026-06-29T11:58:32.309410
226,104.0,0,383,266.4,1608543739,2026-06-29T11:58:33.855279
227,104.0,0,383,222.3,1055650086,2026-06-29T11:58:35.774275
228,104.0,0,383,189.6,537733209,2026-06-29T11:58:37.983675
229,104.0,0,383,209.2,1241214004,2026-06-29T11:58:40.013219
230,104.0,0,383,197.7,503506155,2026-06-29T11:58:42.138418
231,104.0,0,383,194.2,740391339,2026-06-29T11:58:44.302424
232,104.0,0,383,230.3,1473653806,2026-06-29T11:58:46.161371
233,104.0,0,383,211.5,387224314,2026-06-29T11:58:48.167373
234,104.0,0,383,208.0,1873509203,2026-06-29T11:58:50.196587
235,104.0,0,383,197.6,1529516187,2026-06-29T11:58:52.330316
236,104.0,0,383,195.0,110744859,2026-06-29T11:58:54.488952
237,104.0,0,383,200.4,1562375187,2026-06-29T11:58:56.594290
238,104.0,0,383,222.1,2051546079,2026-06-29T11:58:58.516729
239,104.0,0,383,210.0,1077737367,2026-06-29T11:59:00.531413
240,104.0,0,383,203.2,1919975231,2026-06-29T11:59:02.604900
241,104.0,0,383,202.4,289408815,2026-06-29T11:59:04.692103
242,104.0,0,383,192.2,144205276,2026-06-29T11:59:06.882455
243,104.0,0,383,228.8,1153715469,2026-06-29T11:59:08.753212
244,104.0,0,383,208.1,924412590,2026-06-29T11:59:10.788049
245,104.0,0,383,202.9,1415121236,2026-06-29T11:59:12.861063
246,104.0,0,383,203.8,495548360,2026-06-29T11:59:14.940723
247,104.0,0,383,182.2,2076264007,2026-06-29T11:59:17.237824
